Gene	K562 CS	K562 adjusted p-value
EIF4A3	-5.784	2.69E-05
BCR	-5.726	2.69E-05
RPL8	-5.596	3.04E-05
DBR1	-5.533	0.000214611
PRPF19	-5.525	4.25E-05
RPS28	-5.366	3.76E-05
SMCHD1	-5.243	0.000148456
ABL1	-5.218	2.69E-05
PELO	-5.209	8.76E-05
MAPK1	-5.165	2.69E-05
ATP6V0C	-5.124	5.25E-05
RPL23A	-5.103	3.04E-05
TRMT112	-5.001	2.69E-05
EIF2S1	-4.968	6.41E-05
DTYMK	-4.952	0.00019946
SMC3	-4.938	0.000289826
RPL35A	-4.900	2.69E-05
MARS	-4.895	3.04E-05
HSPA5	-4.889	7.28E-05
EEF2	-4.886	2.69E-05
EFTUD2	-4.883	0.000141497
CDC16	-4.871	4.31E-05
HSPE1	-4.856	7.84E-05
SF3B3	-4.845	0.000515354
RPS19	-4.830	0.000366187
RPS4X	-4.826	8.66E-05
TUBB	-4.821	2.69E-05
CDC45	-4.821	4.04E-05
IARS	-4.788	0.000271228
RPL10	-4.754	9.72E-05
CLP1	-4.745	2.69E-05
RRM1	-4.721	0.000269734
RPL18	-4.719	2.69E-05
UMPS	-4.691	2.69E-05
CCDC116	-4.685	0.000128136
AHCYL1	-4.667	2.69E-05
NUP214	-4.655	3.76E-05
IMP3	-4.630	0.001866989
AQR	-4.612	0.0003973
RPS3A	-4.603	0.000306389
RPL32	-4.595	2.69E-05
RPL15	-4.587	0.000217406
XPO1	-4.576	4.14E-05
MVD	-4.569	2.69E-05
PCNA	-4.560	4.30E-05
SRSF2	-4.555	7.84E-05
PRPF8	-4.544	2.69E-05
TXNL4A	-4.542	3.04E-05
DDX21	-4.536	8.44E-05
INTS3	-4.530	0.000291532
ESPL1	-4.513	0.000180785
PHF5A	-4.498	0.000256974
PSMA6	-4.497	0.000291532
EIF3A	-4.488	0.000269734
RPL13	-4.480	3.58E-05
RPS7	-4.472	0.000291532
RPS12	-4.451	0.002311737
DDX54	-4.441	0.001094759
RAN	-4.437	0.000133488
RPS15	-4.427	4.04E-05
DYNC1H1	-4.416	0.000632128
POLR2L	-4.413	0.000287305
SEC13	-4.394	0.001963932
RPSA	-4.386	0.000430679
SNRPF	-4.382	0.000450546
RPS13	-4.375	0.000918779
RPS8	-4.368	0.000467768
RPS6	-4.357	2.69E-05
SMU1	-4.330	0.000127435
RUVBL2	-4.326	0.001005627
RPL26	-4.320	0.001247284
GPN2	-4.304	6.41E-05
RABGGTA	-4.302	0.00023364
RPL18A	-4.300	0.000675671
PTPMT1	-4.296	3.40E-05
SUPV3L1	-4.293	0.000197587
ANAPC2	-4.290	3.87E-05
RPL36	-4.287	2.69E-05
HSPA9	-4.285	0.000264822
RPL7A	-4.246	0.000241812
RCC1	-4.243	2.69E-05
ATIC	-4.242	2.69E-05
RUVBL1	-4.220	0.000196068
HIC2	-4.210	0.000153345
POLR1C	-4.207	0.00023364
ATP6V1A	-4.204	0.000103556
REXO2	-4.197	0.000190498
SRSF1	-4.192	0.000187957
EIF6	-4.189	0.0003317
RAB36	-4.187	0.000269734
UBE2I	-4.185	7.06E-05
DHFR	-4.182	2.69E-05
RAD9A	-4.163	0.000469163
PHB2	-4.154	0.000211641
GATA1	-4.150	3.04E-05
GGTLC2	-4.148	0.000141497
DDX49	-4.147	0.00012157
RPS14	-4.144	3.04E-05
RPS3	-4.141	0.001866989
POLR2B	-4.138	7.40E-05
FIBCD1	-4.138	0.000514538
WDR43	-4.138	7.42E-05
CDIPT	-4.135	8.66E-05
NELFB	-4.135	5.36E-05
UTP23	-4.116	0.001253326
PRPF31	-4.104	0.000469163
QRFP	-4.098	5.25E-05
PPIL2	-4.095	0.00013132
YARS	-4.093	9.99E-05
UBA3	-4.079	0.001100188
DNM2	-4.067	0.000387765
NARS	-4.060	2.69E-05
HARS	-4.059	3.76E-05
SARS	-4.044	2.69E-05
ECD	-4.039	0.001718383
POLR2J3	-4.029	3.04E-05
POLR2C	-4.026	0.000563301
WDR33	-4.018	0.001154606
DARS	-3.989	0.000239937
HSCB	-3.989	0.00012157
POLR1B	-3.985	0.000164127
USP5	-3.965	0.000568091
TONSL	-3.961	0.000169516
POLR2A	-3.958	2.69E-05
SNRPD1	-3.952	5.14E-05
TERF2	-3.949	0.000156295
