PC1,2+GC	PC2,3+GC	top3PC+GC	PC2,3,4+GC	top4PCs+GC	top10PCs+GC	top20PCs+GC	top30PCs+GC	PC1,2	PC2,3	top3PC	PC2,3,4	top4PCs	top10PCs	top20PCs	top30PCs
30	30	30	90	50	70	30	50	30	70	30	70	30	70	30	50
110	70	50	110	90	90	70	90	50	90	50	90	90	90	70	90
130	110	70	130	110	110	90	110	70	130	70	110	110	110	90	110
150	130	110	150	130	150	110	130	110	150	90	130	130	170	110	130
170	150	150	210	150	170	170	170	130	290	110	150	150	190	130	170
190	230	190	290	190	190	190	190	150	310	150	210	190	210	170	190
230	290	250	350	250	210	290	310	170	370	190	290	250	310	190	310
250	350	350	370	350	310	370	330	330	390	230	350	350	330	290	330
330	370	370	390	370	330	430	370	350	470	250	370	370	370	370	370
350	610	450	590	390	370	510	390	370	490	350	390	390	510	510	390
370	630	490	610	510	410	670	410	450	510	370	550	510	530	670	410
450	670	530	670	670	530	750	430	510	730	390	670	670	550	750	430
510	710	670	730	750	550	790	510	570	770	670	690	750	610	790	510
630	750	710	750	830	670	830	670	670	790	710	730	830	670	830	670
670	770	730	870	870	710	850	750	770	810	770	870	870	710	850	750
710	850	770	890	890	770	870	850	790	850	830	890	890	770	870	850
770	930	830	910	910	830	910	910	870	950	850	910	910	830	910	910
790	950	850	930	950	930	950	950	890	970	870	950	950	930	950	950
950	970	870	950	970	950	970	990	950	990	970	970	970	950	970	990
1010	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010	1010
