id	cls	rna-number	atac-number
ess	13	330	42
ess	20	280	142
ess	2	495	507
ess	0	571	135
ess	1	535	401
ess	24	192	23
ess	3	464	565
ess	4	455	367
ess	17	296	103
ess	26	128	5
ess	12	334	16
ess	14	320	75
ess	6	423	26
ess	10	336	17
ess	5	428	58
ess	7	375	18
ess	22	232	15
ess	29	77	327
ess	19	282	12
ess	8	342	511
ess	25	176	10
ess	16	305	13
ess	11	335	20
ess	21	248	15
ess	15	314	22
ess	9	342	17
ess	27	119	2
ess	23	201	4
ess	18	294	6
ess	28	92	80
noness	23	93	75
noness	3	328	253
noness	0	389	40
noness	19	140	13
noness	2	348	65
noness	13	219	73
noness	8	284	327
noness	4	322	139
noness	11	276	124
noness	15	203	17
noness	20	138	19
noness	7	290	135
noness	17	163	60
noness	1	355	448
noness	5	310	156
noness	16	169	17
noness	22	95	10
noness	14	205	68
noness	10	281	35
noness	6	291	41
noness	21	137	38
noness	9	281	60
noness	12	256	149
noness	18	149	172
noness	25	85	18
noness	24	92	7
