site	c	s	e	str	Ess	round
Hub_1_13.1st	chr1	87090000	87095000	chr1-87090000	Ess	1st
Hub_1_19.1st	chr1	106485000	106490000	chr1-106485000	Ess	1st
Hub_1_21.1st	chr1	109015000	109020000	chr1-109015000	Ess	1st
Hub_1_25.1st	chr1	120635000	120640000	chr1-120635000	Ess	1st
Hub_1_29.1st	chr1	121165000	121170000	chr1-121165000	Ess	1st
Hub_1_38.1st	chr1	121220000	121225000	chr1-121220000	Ess	1st
Hub_1_42.1st	chr1	121330000	121335000	chr1-121330000	Ess	1st
Hub_1_43.1st	chr1	121335000	121340000	chr1-121335000	Ess	1st
Hub_1_61.1st	chr1	177640000	177645000	chr1-177640000	Ess	1st
Hub_1_68.1st	chr1	248595000	248600000	chr1-248595000	Ess	1st
Hub_10_1.1st	chr10	115000	120000	chr10-115000	Ess	1st
Hub_10_18.1st	chr10	88965000	88970000	chr10-88965000	Ess	1st
Hub_10_3.1st	chr10	37985000	37990000	chr10-37985000	Ess	1st
Hub_11_10.1st	chr11	50215000	50220000	chr11-50215000	Ess	1st
Hub_11_49.1st	chr11	51485000	51490000	chr11-51485000	Ess	1st
Hub_11_53.1st	chr11	51520000	51525000	chr11-51520000	Ess	1st
Hub_11_54.1st	chr11	51525000	51530000	chr11-51525000	Ess	1st
Hub_11_90.1st	chr11	55470000	55475000	chr11-55470000	Ess	1st
Hub_12_15.1st	chr12	8545000	8550000	chr12-8545000	Ess	1st
Hub_12_38.1st	chr12	34760000	34765000	chr12-34760000	Ess	1st
Hub_12_46.1st	chr12	37975000	37980000	chr12-37975000	Ess	1st
Hub_13_8.1st	chr13	19300000	19305000	chr13-19300000	Ess	1st
Hub_15_9.1st	chr15	22420000	22425000	chr15-22420000	Ess	1st
Hub_16_11.1st	chr16	29190000	29195000	chr16-29190000	Ess	1st
Hub_16_12.1st	chr16	29195000	29200000	chr16-29195000	Ess	1st
Hub_16_19.1st	chr16	29245000	29250000	chr16-29245000	Ess	1st
Hub_16_22.1st	chr16	29270000	29275000	chr16-29270000	Ess	1st
Hub_16_28.1st	chr16	29305000	29310000	chr16-29305000	Ess	1st
Hub_16_38.1st	chr16	32360000	32365000	chr16-32360000	Ess	1st
Hub_16_56.1st	chr16	33945000	33950000	chr16-33945000	Ess	1st
Hub_16_57.1st	chr16	33950000	33955000	chr16-33950000	Ess	1st
Hub_16_6.1st	chr16	21555000	21560000	chr16-21555000	Ess	1st
Hub_16_73.1st	chr16	88270000	88275000	chr16-88270000	Ess	1st
Hub_17_24.1st	chr17	21545000	21550000	chr17-21545000	Ess	1st
Hub_17_61.1st	chr17	45595000	45600000	chr17-45595000	Ess	1st
Hub_2_1.1st	chr2	35240000	35245000	chr2-35240000	Ess	1st
Hub_2_20.1st	chr2	95400000	95405000	chr2-95400000	Ess	1st
Hub_20_38.1st	chr20	26235000	26240000	chr20-26235000	Ess	1st
Hub_21_11.1st	chr21	11180000	11185000	chr21-11180000	Ess	1st
Hub_21_14.1st	chr21	14625000	14630000	chr21-14625000	Ess	1st
Hub_21_23.1st	chr21	15240000	15245000	chr21-15240000	Ess	1st
Hub_22_1.1st	chr22	17030000	17035000	chr22-17030000	Ess	1st
Hub_22_10.1st	chr22	17345000	17350000	chr22-17345000	Ess	1st
Hub_22_11.1st	chr22	17390000	17395000	chr22-17390000	Ess	1st
