c	s	e	str	Ess	round	GC
chr1	79155000	79160000	chr1-79155000	Noness	1st	0.3844
chr1	80105000	80110000	chr1-80105000	Noness	1st	0.4688
chr1	83945000	83950000	chr1-83945000	Noness	1st	0.3924
chr1	102005000	102010000	chr1-102005000	Noness	1st	0.3642
chr1	102010000	102015000	chr1-102010000	Noness	1st	0.3752
chr1	104800000	104805000	chr1-104800000	Noness	1st	0.385
chr1	104890000	104895000	chr1-104890000	Noness	1st	0.357
chr1	4380000	4385000	chr1-4380000	Noness	1st	0.5034
chr1	107250000	107255000	chr1-107250000	Noness	1st	0.3454
chr1	119060000	119065000	chr1-119060000	Noness	1st	0.372
chr1	121150000	121155000	chr1-121150000	Noness	1st	0.3506
chr1	121155000	121160000	chr1-121155000	Noness	1st	0.3582
chr1	121160000	121165000	chr1-121160000	Noness	1st	0.3776
chr1	60845000	60850000	chr1-60845000	Noness	1st	0.3824
chr1	121175000	121180000	chr1-121175000	Noness	1st	0.4102
chr1	121185000	121190000	chr1-121185000	Noness	1st	0.349
chr1	121190000	121195000	chr1-121190000	Noness	1st	0.3546
chr1	121195000	121200000	chr1-121195000	Noness	1st	0.3552
chr1	121200000	121205000	chr1-121200000	Noness	1st	0.322
chr1	121205000	121210000	chr1-121205000	Noness	1st	0.3606
chr1	121210000	121215000	chr1-121210000	Noness	1st	0.3772
chr1	121215000	121220000	chr1-121215000	Noness	1st	0.4116
chr1	121250000	121255000	chr1-121250000	Noness	1st	0.4106
chr1	121340000	121345000	chr1-121340000	Noness	1st	0.3866
chr1	121350000	121355000	chr1-121350000	Noness	1st	0.384
chr1	121355000	121360000	chr1-121355000	Noness	1st	0.4032
chr1	146700000	146705000	chr1-146700000	Noness	1st	0.4538
chr1	149115000	149120000	chr1-149115000	Noness	1st	0.3464
chr1	69360000	69365000	chr1-69360000	Noness	1st	0.356
chr1	149125000	149130000	chr1-149125000	Noness	1st	0.4256
chr1	149135000	149140000	chr1-149135000	Noness	1st	0.4704
chr1	149140000	149145000	chr1-149140000	Noness	1st	0.4152
chr1	149165000	149170000	chr1-149165000	Noness	1st	0.4134
chr1	149175000	149180000	chr1-149175000	Noness	1st	0.4054
chr1	149195000	149200000	chr1-149195000	Noness	1st	0.5208
chr1	159295000	159300000	chr1-159295000	Noness	1st	0.383
chr1	159315000	159320000	chr1-159315000	Noness	1st	0.337
chr1	161535000	161540000	chr1-161535000	Noness	1st	0.4184
chr1	71055000	71060000	chr1-71055000	Noness	1st	0.458
